county,state_id,lat,lng
Wichita,TX,33.988,-98.7035
Bossier,LA,32.6784,-93.6049
Clarke,GA,33.9512,-83.3673
Bonneville,ID,43.3877,-111.6148
Berkeley,WV,39.4641,-78.0275
Berkshire,MA,42.3707,-73.2063
Sebastian,AR,35.1989,-94.2743
Faulkner,AR,35.147,-92.332
Rapides,LA,31.1986,-92.5332
Saline,AR,34.6466,-92.6766
Kennebec,ME,44.4091,-69.7673
Flagler,FL,29.4614,-81.3136
Fayette,PA,39.9201,-79.6474
Cochise,AZ,31.8796,-109.7512
Chautauqua,NY,42.2281,-79.3663
Gregg,TX,32.4805,-94.817
Richland,OH,40.7747,-82.5365
Carroll,GA,33.5828,-85.0798
Morgan,AL,34.4535,-86.8529
Jasper,MO,37.2036,-94.3406
Clark,IN,38.4772,-85.7073
Gallatin,MT,45.5404,-111.1704
Rockwall,TX,32.8978,-96.4079
Fayette,GA,33.414,-84.4943
Comanche,OK,34.6621,-98.4717
Allegan,MI,42.5913,-85.8883
Blair,PA,40.4811,-78.3483
San Juan,NM,36.5085,-108.3206
Missoula,MT,47.0365,-113.9237
La Crosse,WI,43.9066,-91.1152
Douglas,KS,38.8847,-95.2926
Lowndes,GA,30.8338,-83.2677
Tom Green,TX,31.4044,-100.4621
Wayne,NC,35.364,-78.004
Henderson,NC,35.3363,-82.48
Newton,GA,33.555,-83.8502
Sheboygan,WI,43.7212,-87.9454
Oswego,NY,43.4269,-76.1413
Robeson,NC,34.6402,-79.1039
Wayne,OH,40.8289,-81.888
Calhoun,AL,33.7714,-85.826
Potter,TX,35.4013,-101.8939
St. Mary's,MD,38.3024,-76.6058
Jefferson,NY,44.0495,-75.9203
Albemarle,VA,38.0229,-78.5567
Pennington,SD,44.0037,-102.8238
Lycoming,PA,41.3434,-77.0645
Androscoggin,ME,44.1658,-70.2065
Craighead,AR,35.8308,-90.6328
Northwest Hills,CT,41.8469,-73.2212
Bartow,GA,34.2377,-84.8403
Matanuska-Susitna,AK,62.316,-149.5729
Hanover,VA,37.7601,-77.491
Ontario,NY,42.8528,-77.2998
Cowlitz,WA,46.1932,-122.681
Delaware,IN,40.2275,-85.3969
Douglas,OR,43.2797,-123.1665
Hardin,KY,37.6979,-85.9634
LaPorte,IN,41.546,-86.74
Madison,MS,32.6347,-90.0337
Limestone,AL,34.8101,-86.9814
Bradley,TN,35.1541,-84.8596
Warren,NJ,40.8572,-74.9973
Cass,MO,38.647,-94.3549
Flathead,MT,48.2951,-114.0497
Platte,MO,39.3803,-94.7738
Miami,OH,40.0535,-84.2288
Carver,MN,44.8207,-93.8026
Mercer,PA,41.3022,-80.2577
Eaton,MI,42.5961,-84.8383
Hunt,TX,33.1236,-96.0855
Yamhill,OR,45.2326,-123.3081
LaSalle,IL,41.344,-88.8859
Navajo,AZ,35.3996,-110.3214
Houston,AL,31.1532,-85.3025
Dallas,IA,41.6849,-94.0398
Maury,TN,35.6169,-87.077
St. Lawrence,NY,44.4964,-75.0691
Monongalia,WV,39.6303,-80.0466
Eau Claire,WI,44.7268,-91.286
Kankakee,IL,41.1377,-87.8618
Bastrop,TX,30.1036,-97.312
Woodbury,IA,42.3897,-96.0448
Terrebonne,LA,29.4148,-90.8663
Adams,PA,39.8715,-77.2179
Vigo,IN,39.4306,-87.39
Franklin,MO,38.4111,-91.075
Highlands,FL,27.3433,-81.341
Walworth,WI,42.6685,-88.5419
Cecil,MD,39.5712,-75.9407
Wicomico,MD,38.3733,-75.6208
Moore,NC,35.3106,-79.4814
Sumter,SC,33.9162,-80.3822
Tompkins,NY,42.452,-76.4736
Lancaster,SC,34.6867,-80.7055
Fond du Lac,WI,43.7536,-88.4883
Daviess,KY,37.7318,-87.0873
Whitfield,GA,34.8056,-84.9672
Liberty,TX,30.1516,-94.8122
Walton,GA,33.7816,-83.7339
Etowah,AL,34.0453,-86.0348
Bay,MI,43.7075,-83.9924
Craven,NC,35.1249,-77.0939
Nevada,CA,39.3013,-120.7689
Macon,IL,39.86,-88.9616
Grant,WA,47.2057,-119.4518
Allen,OH,40.7715,-84.1058
Laramie,WY,41.307,-104.6895
Cleveland,NC,35.3341,-81.5555
Columbiana,OH,40.7684,-80.7772
DeKalb,IL,41.8935,-88.7703
Burleigh,ND,46.9775,-100.4687
Sherburne,MN,45.444,-93.7748
Story,IA,42.0362,-93.465
Garland,AR,34.5767,-93.1504
Marshall,AL,34.367,-86.3066
Floyd,GA,34.2632,-85.2143
Sevier,TN,35.7846,-83.5242
Madison,TN,35.6081,-88.8385
Montgomery,VA,37.1743,-80.3872
Dubuque,IA,42.4688,-90.8825
Franklin,WA,46.5347,-118.899
Sutter,CA,39.0346,-121.6948
Suffolk,VA,36.6953,-76.6398
Rogers,OK,36.3715,-95.6043
Lenawee,MI,41.8951,-84.0664
Roanoke,VA,37.2785,-79.958
Putnam,NY,41.4267,-73.7495
Nassau,FL,30.6107,-81.8019
Portsmouth,VA,36.8453,-76.3554
Ashtabula,OH,41.7072,-80.7482
Roanoke,VA,37.2693,-80.068
Northeastern Connecticut,CT,41.827,-71.9769
Benton,OR,44.4918,-123.4293
Lafourche,LA,29.5662,-90.4256
Nash,NC,35.9673,-77.9864
Grand Traverse,MI,44.6687,-85.5605
St. Croix,WI,45.034,-92.4526
Lauderdale,AL,34.9014,-87.654
Madison,KY,37.7202,-84.278
Geauga,OH,41.4996,-81.1786
Fairbanks North Star,AK,64.8078,-146.5654
Rockdale,GA,33.6542,-84.0266
Frederick,VA,39.2046,-78.2626
Cape May,NJ,39.1494,-74.8005
Calvert,MD,38.5434,-76.5687
St. Clair,AL,33.7157,-86.3146
Twin Falls,ID,42.356,-114.6672
Campbell,KY,38.9465,-84.3795
Pottawattamie,IA,41.3366,-95.5423
Ozaukee,WI,43.384,-87.9509
Christian,MO,36.9696,-93.1889
Cabell,WV,38.4203,-82.2417
Lincoln,NC,35.4856,-81.2235
Steuben,NY,42.2678,-77.3838
Tuscarawas,OH,40.4409,-81.4737
Rockingham,NC,36.396,-79.775
Grafton,NH,43.9407,-71.8208
Bowie,TX,33.4458,-94.4234
Victoria,TX,28.7964,-96.9715
Wayne,NY,43.1566,-77.0294
Cullman,AL,34.1319,-86.8676
Northumberland,PA,40.852,-76.7095
Mendocino,CA,39.4402,-123.3915
Barrow,GA,33.9932,-83.7127
Polk,OR,44.9035,-123.4132
Elmore,AL,32.5966,-86.1492
Bannock,ID,42.6685,-112.2246
Lapeer,MI,43.0901,-83.2218
Dodge,WI,43.4163,-88.7075
Josephine,OR,42.3655,-123.5555
Burke,NC,35.7496,-81.7048
Angelina,TX,31.2548,-94.6119
Island,WA,48.163,-122.5481
Wagoner,OK,35.9611,-95.5212
Muskingum,OH,39.9654,-81.9444
Jefferson,WI,43.0208,-88.7759
Rockingham,VA,38.512,-78.8757
Glynn,GA,31.2309,-81.5407
Orange,TX,30.1213,-93.8939
Lewis,WA,46.5778,-122.3927
Lawrence,PA,40.9912,-80.3347
Henderson,TX,32.2119,-95.8536
Jackson,GA,34.134,-83.5665
Coryell,TX,31.3909,-97.7993
Newport,RI,41.5568,-71.2363
Cascade,MT,47.3079,-111.347
Yuba,CA,39.269,-121.3513
Hancock,IN,39.8236,-85.7733
Bullitt,KY,37.9701,-85.6959
Midland,MI,43.6468,-84.3881
Howard,IN,40.4836,-86.1169
Buchanan,MO,39.6598,-94.8059
Bartholomew,IN,39.206,-85.8976
Wood,WV,39.2112,-81.515
Orangeburg,SC,33.439,-80.8003
Leavenworth,KS,39.1993,-95.038
Dougherty,GA,31.5335,-84.2164
Indiana,PA,40.652,-79.0876
Lee,MS,34.2899,-88.6804
Payne,OK,36.0773,-96.9756
Walton,FL,30.6436,-86.1697
Cape Girardeau,MO,37.384,-89.6845
Crawford,PA,41.6847,-80.1062
Bulloch,GA,32.3968,-81.7432
Putnam,TN,36.1408,-85.4952
Chemung,NY,42.1413,-76.76
Monroe,FL,25.3191,-81.1089
